timestamp,respondentId,room,comfortValue,comfortLabel,temperatureValue,temperatureLabel,humidityValue,humidityLabel,airQualityValue,airQualityLabel,noiseValue,noiseLabel,degreesValue,degreesLabel,between,and
2025-09-26T10:48:31.000Z,172,Lab 2.2,5,Excellent,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-26T10:49:04.000Z,100,Lab 2.2,5,Excellent,0,Optimal,1,Slightly humid,1,Acceptable,0,Optimal,5,23≥t≥25°C,23,25
2025-09-26T10:56:09.000Z,39,Lab 2.2,4,Good,1,Warm,1,Slightly humid,1,Acceptable,0,Optimal,6,26≥t≥28°C,26,28
2025-09-26T10:56:55.000Z,57,Lab 2.2,2,Poor,1,Warm,0,Optimal,1,Acceptable,0,Optimal,6,26≥t≥28°C,26,28
2025-09-26T11:01:47.000Z,35,Lab 2.2,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-26T11:02:36.000Z,94,Lab 2.2,4,Good,0,Optimal,0,Optimal,0,Optimal,1,Slightly noisy,3,17≥t≥19°C,17,19
2025-09-26T11:05:34.000Z,17,Lab 2.2,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,5,23≥t≥25°C,23,25
2025-09-26T11:06:14.000Z,131,Lab 2.2,3,Acceptable,-1,Cool,0,Optimal,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-26T11:11:47.000Z,137,Lab 2.2,4,Good,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-26T11:18:32.000Z,141,Lab 2.2,4,Good,0,Optimal,1,Slightly humid,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-26T11:24:03.000Z,69,Lab 2.2,4,Good,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-26T11:24:20.000Z,96,Lab 2.2,4,Good,0,Optimal,0,Optimal,0,Optimal,1,Slightly noisy,5,23≥t≥25°C,23,25
2025-09-26T11:39:55.000Z,63,Lab 2.2,4,Good,1,Warm,0,Optimal,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-26T12:23:19.000Z,74,Lab 2.2,3,Acceptable,0,Optimal,1,Slightly humid,1,Acceptable,0,Optimal,3,17≥t≥19°C,17,19
2025-09-26T12:36:41.000Z,138,Lab 2.2,3,Acceptable,0,Optimal,1,Slightly humid,1,Acceptable,1,Slightly noisy,3,17≥t≥19°C,17,19
2025-09-26T12:37:40.000Z,149,Lab 2.2,2,Poor,0,Optimal,0,Optimal,2,Poor,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-26T12:56:10.000Z,76,Lab 2.2,2,Poor,0,Optimal,0,Optimal,1,Acceptable,2,Loud,5,23≥t≥25°C,23,25
2025-09-26T13:03:38.000Z,30,Lab 2.2,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-26T13:40:54.000Z,167,Room 2.5,3,Acceptable,0,Optimal,1,Slightly humid,1,Acceptable,1,Slightly noisy,4,20≥t≥22°C,20,22
2025-09-26T13:41:27.000Z,145,Room 2.5,4,Good,0,Optimal,0,Optimal,0,Optimal,1,Slightly noisy,3,17≥t≥19°C,17,19
2025-09-26T13:43:22.000Z,111,Room 2.5,4,Good,0,Optimal,0,Optimal,0,Optimal,0,Optimal,5,23≥t≥25°C,23,25
2025-09-26T13:43:47.000Z,160,Room 2.5,4,Good,1,Warm,0,Optimal,0,Optimal,0,Optimal,5,23≥t≥25°C,23,25
2025-09-26T13:47:42.000Z,70,Room 2.5,3,Acceptable,1,Warm,0,Optimal,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-26T13:48:30.000Z,125,Room 2.5,4,Good,0,Optimal,0,Optimal,0,Optimal,0,Optimal,4,20≥t≥22°C,20,22
2025-09-26T13:49:01.000Z,38,Room 2.5,4,Good,1,Warm,1,Slightly humid,1,Acceptable,0,Optimal,4,20≥t≥22°C,20,22
2025-09-26T13:49:11.000Z,44,Room 2.5,3,Acceptable,0,Optimal,0,Optimal,1,Acceptable,0,Optimal,6,26≥t≥28°C,26,28
2025-09-26T13:49:41.000Z,147,Room 2.5,4,Good,-1,Cool,0,Optimal,0,Optimal,0,Optimal,3,17≥t≥19°C,17,19
2025-09-26T13:50:26.000Z,4,Room 2.5,4,Good,0,Optimal,1,Slightly humid,0,Optimal,0,Optimal,5,23≥t≥25°C,23,25
2025-09-26T13:50:37.000Z,47,Room 2.5,4,Good,0,Optimal,0,Optimal,1,Acceptable,1,Slightly noisy,5,23≥t≥25°C,23,25
2025-09-26T13:51:52.000Z,179,Room 2.5,3,Acceptable,0,Optimal,0,Optimal,0,Optimal,0,Optimal,5,23≥t≥25°C,23,25
2025-09-26T13:52:16.000Z,26,Room 2.5,4,Good,1,Warm,1,Slightly humid,1,Acceptable,0,Optimal,5,23≥t≥25°C,23,25
2025-09-26T13:55:11.000Z,128,Room 2.5,4,Good,0,Optimal,1,Slightly humid,0,Optimal,0,Optimal,4,20≥t≥22°C,20,22
2025-09-26T14:06:16.000Z,97,Lab 2.2,2,Poor,1,Warm,2,Humid,2,Poor,1,Slightly noisy,5,23≥t≥25°C,23,25
2025-09-26T14:06:55.000Z,156,Room 2.5,3,Acceptable,0,Optimal,0,Optimal,0,Optimal,0,Optimal,4,20≥t≥22°C,20,22
